database	species	comparison	gene_set	term_id	term_name	functional_class	gene_count	foreground_gene_count	term_background_count	background_gene_count	gene_ids
GO	Populus_trichocarpa	prolonged_salt_vs_control	up	GO:0010017	red or far-red light signaling pathway	BP	3	22	3	77	Potri.006G251800.2.v4.1,Potri.010G004200.1.v4.1,Potri.018G029500.1.v4.1
GO	Populus_trichocarpa	prolonged_salt_vs_control	up	GO:0010099	regulation of photomorphogenesis	BP	3	22	3	77	Potri.006G251800.2.v4.1,Potri.010G004200.1.v4.1,Potri.018G029500.1.v4.1
GO	Populus_trichocarpa	prolonged_salt_vs_control	up	GO:0010114	response to red light	BP	3	22	3	77	Potri.006G251800.2.v4.1,Potri.010G004200.1.v4.1,Potri.018G029500.1.v4.1
GO	Populus_trichocarpa	prolonged_salt_vs_control	up	GO:0010218	response to far red light	BP	3	22	3	77	Potri.006G251800.2.v4.1,Potri.010G004200.1.v4.1,Potri.018G029500.1.v4.1
GO	Populus_trichocarpa	prolonged_salt_vs_control	up	GO:0045944	positive regulation of transcription by RNA polymerase II	BP	3	22	3	77	Potri.006G251800.2.v4.1,Potri.010G004200.1.v4.1,Potri.018G029500.1.v4.1
GO	Populus_trichocarpa	prolonged_salt_vs_control	up	GO:0000976	transcription cis-regulatory region binding	MF	5	22	12	77	Potri.002G196200.1.v4.1,Potri.005G119300.1.v4.1,Potri.008G106700.1.v4.1,Potri.010G142900.1.v4.1,Potri.014G120800.1.v4.1
GO	Populus_trichocarpa	prolonged_salt_vs_control	up	GO:0045893	positive regulation of DNA-templated transcription	BP	10	22	29	77	Potri.002G125400.1.v4.1,Potri.002G196200.1.v4.1,Potri.005G109500.2.v4.1,Potri.005G119300.1.v4.1,Potri.005G192900.1.v4.1,Potri.008G106700.1.v4.1,Potri.009G164500.4.v4.1,Potri.010G142900.1.v4.1,Potri.014G028200.2.v4.1,Potri.014G120800.1.v4.1
GO	Populus_trichocarpa	prolonged_salt_vs_control	up	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	MF	3	22	7	77	Potri.006G251800.2.v4.1,Potri.010G004200.1.v4.1,Potri.018G029500.1.v4.1
GO	Populus_trichocarpa	prolonged_salt_vs_control	up	GO:0005634	nucleus	CC	15	22	50	77	Potri.002G069500.1.v4.1,Potri.002G125400.1.v4.1,Potri.002G196200.1.v4.1,Potri.005G109500.2.v4.1,Potri.005G119300.1.v4.1,Potri.005G192900.1.v4.1,Potri.006G251800.2.v4.1,Potri.008G106700.1.v4.1,Potri.009G164500.4.v4.1,Potri.010G004200.1.v4.1,Potri.010G142900.1.v4.1,Potri.014G028200.2.v4.1,Potri.014G120800.1.v4.1,Potri.017G027400.1.v4.1,Potri.018G029500.1.v4.1
GO	Populus_trichocarpa	prolonged_salt_vs_control	up	GO:0006351	DNA-templated transcription	BP	5	22	15	77	Potri.002G090700.5.v4.1,Potri.005G082000.10.v4.1,Potri.006G058800.4.v4.1,Potri.007G085700.2.v4.1,Potri.009G164300.4.v4.1
GO	Populus_trichocarpa	prolonged_salt_vs_control	up	GO:0043565	sequence-specific DNA binding	MF	5	22	18	77	Potri.002G090700.5.v4.1,Potri.005G082000.10.v4.1,Potri.006G058800.4.v4.1,Potri.007G085700.2.v4.1,Potri.009G164300.4.v4.1
