Orthogroup	Populus_adenopoda	Populus_alba	Populus_alba_var__pyramidalis	Populus_davidiana	Populus_deltoide	Populus_euphratica	Populus_ilicifolia	Populus_koreana	Populus_lasiocarpa	Populus_pruinosa	Populus_pseudoglauca	Populus_qiongdaoensis	Populus_rotundifolia	Populus_simonii	Populus_szechuanica	Populus_tremula	Populus_trichocarpa	Populus_wuana	Populus_yunnanensis	Total
OG0000000	2	2	3	2	2	4	2	2	2	2	2	1	2	2	2	2	2	2	2	40
OG0000001	2	2	2	2	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2	40
OG0000002	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	40
OG0000003	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	39
OG0000004	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	38
OG0000005	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	38
OG0000006	2	2	1	2	4	2	2	2	2	2	2	1	2	2	2	2	2	2	2	38
OG0000007	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	38
OG0000008	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	1	2	38
OG0000009	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	38
OG0000010	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	37
OG0000011	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	37
OG0000012	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	37
OG0000013	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	37
OG0000014	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	37
OG0000015	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	37
OG0000016	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	37
OG0000017	2	2	2	2	3	1	2	2	2	2	2	1	2	2	2	2	2	2	2	37
OG0000018	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	36
OG0000019	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	36
OG0000020	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	36
OG0000021	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	1	2	2	2	35
OG0000022	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	1	2	2	2	34
OG0000023	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	21
OG0000024	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	21
OG0000025	1	1	1	1	2	2	1	1	1	1	2	0	1	1	2	0	1	0	1	20
OG0000026	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	20
OG0000027	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
OG0000028	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
OG0000029	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19
OG0000030	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19
OG0000031	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19
OG0000032	1	1	1	1	2	0	1	1	1	1	1	2	1	1	1	1	1	1	0	19
OG0000033	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19
OG0000034	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19
