Pangene_ID	Orthogroup	Pangenome_class	Species_present	Total_genes	Copy_number_variable
PtbZIP.CR001	OG0000000	core	19	40	True
PtbZIP.CR002	OG0000001	core	19	40	True
PtbZIP.CR003	OG0000002	core	19	40	True
PtbZIP.CR004	OG0000003	core	19	39	True
PtbZIP.CR005	OG0000004	core	19	38	False
PtbZIP.CR006	OG0000005	core	19	38	False
PtbZIP.CR007	OG0000006	core	19	38	True
PtbZIP.CR008	OG0000007	core	19	38	False
PtbZIP.CR009	OG0000008	core	19	38	True
PtbZIP.CR010	OG0000009	core	19	38	False
PtbZIP.CR011	OG0000010	core	19	37	True
PtbZIP.CR012	OG0000011	core	19	37	True
PtbZIP.CR013	OG0000012	core	19	37	True
PtbZIP.CR014	OG0000013	core	19	37	True
PtbZIP.CR015	OG0000014	core	19	37	True
PtbZIP.CR016	OG0000015	core	19	37	True
PtbZIP.CR017	OG0000016	core	19	37	True
PtbZIP.CR018	OG0000017	core	19	37	True
PtbZIP.CR019	OG0000018	core	19	36	True
PtbZIP.CR020	OG0000019	core	19	36	True
PtbZIP.CR021	OG0000020	core	19	36	True
PtbZIP.CR022	OG0000022	core	19	34	True
PtbZIP.CR023	OG0000023	core	19	21	True
PtbZIP.CR024	OG0000024	core	19	21	True
PtbZIP.CR025	OG0000026	core	19	20	True
PtbZIP.CR026	OG0000027	core	19	20	True
PtbZIP.CR027	OG0000028	core	19	20	True
PtbZIP.CR028	OG0000029	core	19	19	False
PtbZIP.CR029	OG0000030	core	19	19	False
PtbZIP.CR030	OG0000031	core	19	19	False
PtbZIP.CR031	OG0000033	core	19	19	False
PtbZIP.CR032	OG0000034	core	19	19	False
PtbZIP.CR033	OG0000035	core	19	19	False
PtbZIP.CR034	OG0000036	core	19	19	False
PtbZIP.CR035	OG0000037	core	19	19	False
PtbZIP.CR036	OG0000038	core	19	19	False
PtbZIP.CR037	OG0000039	core	19	19	False
PtbZIP.CR038	OG0000040	core	19	19	False
PtbZIP.CR039	OG0000041	core	19	19	False
PtbZIP.CR040	OG0000043	core	19	19	False
PtbZIP.CR041	OG0000045	core	19	19	False
PtbZIP.CR042	OG0000046	core	19	19	False
PtbZIP.CR043	OG0000047	core	19	19	False
PtbZIP.SC044	OG0000021	softcore	18	35	True
PtbZIP.SC045	OG0000032	softcore	17	19	True
PtbZIP.SC046	OG0000042	softcore	18	19	True
PtbZIP.SC047	OG0000044	softcore	18	19	True
PtbZIP.SC048	OG0000048	softcore	18	19	True
PtbZIP.SC049	OG0000049	softcore	18	18	True
PtbZIP.SC050	OG0000050	softcore	18	18	True
PtbZIP.SC051	OG0000051	softcore	18	18	True
PtbZIP.SC052	OG0000052	softcore	18	18	True
PtbZIP.SC053	OG0000053	softcore	18	18	True
PtbZIP.SC054	OG0000054	softcore	18	18	True
PtbZIP.SC055	OG0000055	softcore	17	18	True
PtbZIP.SC056	OG0000056	softcore	18	18	True
PtbZIP.SC057	OG0000058	softcore	18	18	True
PtbZIP.SC058	OG0000059	softcore	18	18	True
PtbZIP.SC059	OG0000060	softcore	17	17	True
PtbZIP.SC060	OG0000061	softcore	17	17	True
PtbZIP.SC061	OG0000062	softcore	17	17	True
PtbZIP.SC062	OG0000063	softcore	17	17	True
PtbZIP.SC063	OG0000064	softcore	17	17	True
PtbZIP.SH064	OG0000025	shell	16	20	True
PtbZIP.SH065	OG0000057	shell	16	18	True
PtbZIP.SH066	OG0000065	shell	16	16	True
PtbZIP.SH067	OG0000066	shell	16	16	True
PtbZIP.SH068	OG0000067	shell	14	14	True
PtbZIP.SH069	OG0000068	shell	13	13	True
PtbZIP.SH070	OG0000069	shell	13	13	True
PtbZIP.SH071	OG0000070	shell	12	12	True
PtbZIP.SH072	OG0000071	shell	9	10	True
PtbZIP.SH073	OG0000072	shell	7	7	True
PtbZIP.SH074	OG0000073	shell	5	5	True
PtbZIP.SH075	OG0000074	shell	2	3	True
PtbZIP.SH076	OG0000075	shell	2	2	True
PtbZIP.SH077	OG0000076	shell	2	2	True
PtbZIP.SH078	OG0000077	shell	2	2	True
PtbZIP.CL079	OG0000078	cloud	1	2	True
