Orthogroup	Pangene_ID	Pangenome_class	Subfamily	Copy_number_variable	Minimum_copy_number	Maximum_copy_number	Member_genes_n	TE_positive_genes_n	TE_positive_fraction	Total_TE_covered_bp	Total_window_bp	Mean_gene_TE_coverage_fraction	Median_gene_TE_coverage_fraction	Aggregate_TE_coverage_fraction
OG0000000	PtbZIP.CR001	core	A	True	1	4	40	19	0.475	12275	243990	0.0477597652793887	0.0	0.0503094389114308
OG0000001	PtbZIP.CR002	core	S	True	2	3	40	27	0.675	16774	182320	0.0924753487615166	0.0488211743772242	0.0920030715225976
OG0000002	PtbZIP.CR003	core	S	True	2	4	40	30	0.75	13009	192021	0.0655162230681425	0.0434092144802171	0.0677477984178813
OG0000003	PtbZIP.CR004	core	S	True	2	3	39	15	0.3846153846153846	5316	189434	0.0276004595375696	0.0	0.0280625442106485
OG0000004	PtbZIP.CR005	core	D	False	2	2	38	24	0.631578947368421	5535	380588	0.0163067224506939	0.0071077129079591	0.0145432856527268
OG0000005	PtbZIP.CR006	core	S	False	2	2	38	34	0.8947368421052632	9994	171007	0.0586656437719067	0.0377465974493235	0.0584420520797394
OG0000006	PtbZIP.CR007	core	C	True	1	4	38	19	0.5	7347	275496	0.028158849059275	0.0004978662873399	0.026668263786044
OG0000007	PtbZIP.CR008	core	I	False	2	2	38	35	0.9210526315789472	16854	252136	0.0683883870719944	0.0408060283709868	0.0668448773677697
OG0000008	PtbZIP.CR009	core	G	True	1	3	38	16	0.4210526315789473	10239	270693	0.0303802472256034	0.0	0.0378251377021201
OG0000009	PtbZIP.CR010	core	I	False	2	2	38	18	0.4736842105263157	18387	294037	0.0621791197081557	0.0	0.0625329465339396
OG0000010	PtbZIP.CR011	core	D	True	1	2	37	25	0.6756756756756757	8810	335333	0.0241307392155095	0.0151907677814413	0.0262723919208667
OG0000011	PtbZIP.CR012	core	H	True	1	2	37	34	0.918918918918919	17386	213958	0.0794014248934264	0.0644192256341789	0.0812589386702063
OG0000012	PtbZIP.CR013	core	D	True	1	2	37	30	0.8108108108108109	16879	251246	0.0660200170478998	0.0839857651245551	0.0671811690534376
OG0000013	PtbZIP.CR014	core	S	True	1	2	37	27	0.7297297297297297	12698	175028	0.0721724177684204	0.0527756059421423	0.0725483922572388
OG0000014	PtbZIP.CR015	core	D	True	1	2	37	17	0.4594594594594595	3157	364472	0.0099144504771962	0.0	0.0086618450800061
OG0000015	PtbZIP.CR016	core	D	True	1	2	37	17	0.4594594594594595	6260	269619	0.0266363052200046	0.0	0.0232179482899944
OG0000016	PtbZIP.CR017	core	S	True	1	2	37	27	0.7297297297297297	12359	178885	0.0702995144509448	0.0452508004268943	0.069089079576264
OG0000017	PtbZIP.CR018	core	I	True	1	3	37	32	0.8648648648648649	19791	243706	0.0834196270023655	0.0382944052145573	0.0812085053301929
OG0000018	PtbZIP.CR019	core	A	True	1	2	36	31	0.8611111111111112	9955	259752	0.0356208425106777	0.0276548352271307	0.0383250177091995
OG0000019	PtbZIP.CR020	core	I	True	1	2	36	29	0.8055555555555556	12067	276986	0.0450657671894257	0.0462162524158762	0.0435653787556049
OG0000020	PtbZIP.CR021	core	A	True	1	2	36	29	0.8055555555555556	11607	226356	0.0507815368734449	0.0350822119709817	0.0512776334623336
OG0000021	PtbZIP.SC044	softcore	S	True	0	2	35	30	0.8571428571428571	13131	157630	0.0834267994857948	0.0838550983899821	0.0833026708113937
OG0000022	PtbZIP.CR022	core	L	True	1	2	34	24	0.7058823529411765	10217	220565	0.043707722315689	0.02748768732093	0.046321945911636
OG0000023	PtbZIP.CR023	core	A	True	1	2	21	12	0.5714285714285714	5286	144018	0.036040154815328	0.0071391076115485	0.0367037453651626
OG0000024	PtbZIP.CR024	core	G	True	1	2	21	19	0.9047619047619048	4724	194394	0.024336231937089	0.0223317573684739	0.0243011615584843
OG0000025	PtbZIP.SH064	shell	L	True	0	2	20	10	0.5	8684	133955	0.0683538778473713	0.0018217701533323	0.0648277406591765
OG0000026	PtbZIP.CR025	core	G	True	1	2	20	19	0.95	10775	153807	0.0676775725507349	0.0683436392287964	0.0700553290812511
OG0000027	PtbZIP.CR026	core	E	True	1	2	20	11	0.55	4107	128392	0.0308325446844179	0.0146245429368341	0.0319879743286186
OG0000028	PtbZIP.CR027	core	B	True	1	2	20	17	0.85	5166	141243	0.0374868880292376	0.0188692728842872	0.0365752639068838
OG0000029	PtbZIP.CR028	core	E	False	1	1	19	13	0.6842105263157895	10588	105549	0.1050640443505384	0.0287335934728627	0.100313598423481
OG0000030	PtbZIP.CR029	core	A	False	1	1	19	9	0.4736842105263157	1960	95566	0.0205605638274303	0.0	0.0205093861833706
OG0000031	PtbZIP.CR030	core	Un	False	1	1	19	17	0.8947368421052632	12359	126770	0.0970212409111542	0.0650896267998824	0.0974915200757277
OG0000032	PtbZIP.SC045	softcore	A	True	0	2	19	14	0.7368421052631579	5346	107215	0.0500633261887905	0.0540118096561306	0.0498624259665158
OG0000033	PtbZIP.CR031	core	B	False	1	1	19	14	0.7368421052631579	6341	133226	0.0471934710302302	0.0303159087689474	0.0475958146307777
OG0000034	PtbZIP.CR032	core	D	False	1	1	19	15	0.7894736842105263	12165	183271	0.0580544579733482	0.0535407725321888	0.0663771136731943
OG0000035	PtbZIP.CR033	core	C	False	1	1	19	17	0.8947368421052632	11270	109220	0.1015667267213553	0.1111498865817483	0.1031862296282732
OG0000036	PtbZIP.CR034	core	S	False	1	1	19	17	0.8947368421052632	7113	85813	0.0842594845317143	0.0566546762589928	0.0828895388810553
OG0000037	PtbZIP.CR035	core	A	False	1	1	19	10	0.5263157894736842	5410	126099	0.0416488099946844	0.0003100775193798	0.0429027985947549
OG0000038	PtbZIP.CR036	core	S	False	1	1	19	18	0.9473684210526316	5939	88756	0.067970232416624	0.0594124047878128	0.0669137861102348
OG0000039	PtbZIP.CR037	core	K	False	1	1	19	16	0.8421052631578947	8647	106573	0.0800706674480445	0.0997353958884591	0.0811368733168813
OG0000040	PtbZIP.CR038	core	A	False	1	1	19	14	0.7368421052631579	13342	95799	0.1412447537291816	0.1502396332569285	0.1392707648305305
OG0000041	PtbZIP.CR039	core	A	False	1	1	19	18	0.9473684210526316	7114	139684	0.0494350079817997	0.0492847698040629	0.0509292402852152
OG0000042	PtbZIP.SC046	softcore	F	True	0	2	19	7	0.3684210526315789	2130	92360	0.0230359309211938	0.0	0.0230619315721091
OG0000043	PtbZIP.CR040	core	D	False	1	1	19	15	0.7894736842105263	6004	162273	0.0374062396364127	0.0368477356472126	0.0369993775920824
OG0000044	PtbZIP.SC047	softcore	H	True	0	2	19	18	0.9473684210526316	22614	134975	0.168481466654434	0.1762151327877067	0.1675421374328579
OG0000045	PtbZIP.CR041	core	C	False	1	1	19	16	0.8421052631578947	8681	155443	0.055564511147931	0.0563654033041788	0.0558468377475988
OG0000046	PtbZIP.CR042	core	D	False	1	1	19	16	0.8421052631578947	9461	164686	0.0579398137147535	0.0562039863530256	0.0574487205955576
OG0000047	PtbZIP.CR043	core	A	False	1	1	19	11	0.5789473684210527	2938	112519	0.0250389988399138	0.0085470085470085	0.0261111456731752
OG0000048	PtbZIP.SC048	softcore	F	True	0	2	19	17	0.8947368421052632	6614	103037	0.0616120558139614	0.0349075975359342	0.0641905334976755
OG0000049	PtbZIP.SC049	softcore	F	True	0	1	18	10	0.5555555555555556	2045	86448	0.0236565520330609	0.0229071220324864	0.02365583934851
OG0000050	PtbZIP.SC050	softcore	A	True	0	1	18	18	1.0	5135	113353	0.0449224140366725	0.0372490274702256	0.0453009624800402
OG0000051	PtbZIP.SC051	softcore	J	True	0	1	18	12	0.6666666666666666	2485	120053	0.0205585515969047	0.0173661859740673	0.0206991911905575
OG0000052	PtbZIP.SC052	softcore	G	True	0	1	18	17	0.9444444444444444	6588	134985	0.0465779871466889	0.0378702019148934	0.0488054228247583
OG0000053	PtbZIP.SC053	softcore	L	True	0	1	18	17	0.9444444444444444	5898	162015	0.0414704084502499	0.0235889833915959	0.0364040366632719
OG0000054	PtbZIP.SC054	softcore	F	True	0	1	18	14	0.7777777777777778	7611	94905	0.0762811122506447	0.037504987336973	0.0801959854591433
OG0000055	PtbZIP.SC055	softcore	A	True	0	2	18	13	0.7222222222222222	8426	109965	0.0698886178107439	0.0246119838685554	0.0766243804846996
OG0000056	PtbZIP.SC056	softcore	S	True	0	1	18	12	0.6666666666666666	8284	87452	0.0731636295567902	0.0401131376919593	0.0947262498284773
OG0000057	PtbZIP.SH065	shell	E	True	0	3	18	17	0.9444444444444444	5329	112305	0.0463847981372486	0.0417951682732389	0.0474511375272694
OG0000058	PtbZIP.SC057	softcore	S	True	0	1	18	15	0.8333333333333334	8648	83373	0.1037303043443969	0.0929604836968257	0.103726626125964
OG0000059	PtbZIP.SC058	softcore	A	True	0	1	18	15	0.8333333333333334	3412	120131	0.0292949621369706	0.0275314664244293	0.0284023274591903
OG0000060	PtbZIP.SC059	softcore	G	True	0	1	17	15	0.8823529411764706	76326	359124	0.068525926489225	0.0416581995529364	0.2125338323253249
OG0000061	PtbZIP.SC060	softcore	A	True	0	1	17	9	0.5294117647058824	4910	79216	0.0616979261529791	0.0004244482173174	0.0619824277923651
OG0000062	PtbZIP.SC061	softcore	S	True	0	1	17	7	0.4117647058823529	1404	84125	0.0180167919803693	0.0	0.0166894502228826
OG0000063	PtbZIP.SC062	softcore	A	True	0	1	17	15	0.8823529411764706	8208	99598	0.0831357157316363	0.0774564183835182	0.0824112933994658
OG0000064	PtbZIP.SC063	softcore	Un	True	0	1	17	12	0.7058823529411765	6312	106927	0.0631646081710642	0.0225369270595401	0.0590309276422232
OG0000065	PtbZIP.SH066	shell	Un	True	0	1	16	7	0.4375	1303	104342	0.0117574434793214	0.0	0.0124877805677483
OG0000066	PtbZIP.SH067	shell	A	True	0	1	16	7	0.4375	4689	90507	0.0513835085511758	0.0	0.0518081474361099
OG0000067	PtbZIP.SH068	shell	C	True	0	1	14	9	0.6428571428571429	4415	121849	0.040647666354961	0.0152544338143975	0.0362333708114141
OG0000068	PtbZIP.SH069	shell	C	True	0	1	13	13	1.0	8937	65120	0.1393374322089123	0.1430641072075335	0.1372389434889435
OG0000069	PtbZIP.SH070	shell	Un	True	0	1	13	12	0.9230769230769232	3638	61841	0.0584699720441035	0.0657008773719649	0.0588282854416972
OG0000070	PtbZIP.SH071	shell	I	True	0	1	12	12	1.0	6104	87390	0.0698384977469478	0.0465494345874682	0.0698478086737613
OG0000071	PtbZIP.SH072	shell	A	True	0	2	10	9	0.9	4039	56773	0.0694986096739549	0.0800677379843493	0.0711429728920437
OG0000072	PtbZIP.SH073	shell	L	True	0	1	7	6	0.8571428571428571	4577	36731	0.1240984119945232	0.1309250764525993	0.1246086412022542
OG0000073	PtbZIP.SH074	shell	D	True	0	1	5	4	0.8	6063	32070	0.1342651926743942	0.0569737328893821	0.1890551917680074
OG0000074	PtbZIP.SH075	shell	D	True	0	2	3	1	0.3333333333333333	4363	61354	0.0292481162684686	0.0	0.0711119079440623
OG0000075	PtbZIP.SH076	shell	Un	True	0	1	2	2	1.0	1536	9714	0.1581933357577711	0.1581933357577711	0.1581222977146386
OG0000076	PtbZIP.SH077	shell	D	True	0	1	2	2	1.0	407	14469	0.026963969483947	0.026963969483947	0.0281291036008017
OG0000077	PtbZIP.SH078	shell	C	True	0	1	2	0	0.0	0	9908	0.0	0.0	0.0
OG0000078	PtbZIP.CL079	cloud	D	True	0	2	2	2	1.0	725	8783	0.0839110381614186	0.0839110381614186	0.0825458271661163
