Species	Assembly sequences, n	Assembly size, bp	Filtered TE hits, n	Nonredundant TE-covered bp	TE assembly coverage, %	HiTE consensus families, n
Populus_adenopoda	23	383434813	139729	71263397	18.5855	995
Populus_alba	99	417414021	273016	120664932	28.9077	1375
Populus_alba_var._pyramidalis	131	408078299	250370	105093854	25.7534	1270
Populus_davidiana	38	441137487	335380	131980687	29.9183	1151
Populus_deltoides	1375	446783942	233864	101892846	22.8058	849
Populus_euphratica	752	604019027	289874	262873180	43.5207	368
Populus_ilicifolia	86	401622606	191646	106208552	26.4449	256
Populus_koreana	24	401417285	258163	107679511	26.8248	1122
Populus_lasiocarpa	28	419548624	300393	124566706	29.6906	1515
Populus_pruinosa	534	518069894	268628	195152426	37.6691	347
Populus_pseudoglauca	59	448666733	281461	135068138	30.1043	1393
Populus_qiongdaoensis	20	391302422	155961	73231283	18.7148	830
Populus_rotundifolia	58	414287206	288862	116567621	28.1369	1243
Populus_simonii	65	408015724	232302	97218948	23.8273	1180
Populus_szechuanica	52	429103428	290213	125064332	29.1455	1349
Populus_tremula	1601	408834716	226049	96812250	23.68	1095
Populus_trichocarpa	46	392162179	249550	104345440	26.6077	1258
Populus_wuana	20	417372274	259273	114842183	27.5155	1317
Populus_yunnanensis	19	433701815	302259	133549083	30.7928	1285
