Species	OrthoFinder_ID	gene_chr	gene_start	gene_end	TE_positive
Populus_adenopoda	Populus_adenopoda__Poade00686.t1	Chr1	10729820	10731457	True
Populus_adenopoda	Populus_adenopoda__Poade00715.t1	Chr1	11074197	11075222	False
Populus_adenopoda	Populus_adenopoda__Poade01968.t2	Chr1	27304661	27305570	False
Populus_adenopoda	Populus_adenopoda__Poade02428.t1	Chr1	35248206	35249683	True
Populus_adenopoda	Populus_adenopoda__Poade02703.t1	Chr1	38215975	38221947	False
Populus_adenopoda	Populus_adenopoda__Poade03264.t1	Chr1	43491611	43494117	False
Populus_adenopoda	Populus_adenopoda__Poade03677.t1	Chr1	47738259	47745222	False
Populus_adenopoda	Populus_adenopoda__Poade03761.t1	Chr1	48400089	48400890	False
Populus_adenopoda	Populus_adenopoda__Poade21032.t1	Chr10	11155352	11155772	False
Populus_adenopoda	Populus_adenopoda__Poade21262.t5	Chr10	13166223	13169963	False
Populus_adenopoda	Populus_adenopoda__Poade21792.t1	Chr10	17572830	17575944	False
Populus_adenopoda	Populus_adenopoda__Poade21910.t1	Chr10	18576254	18576689	False
Populus_adenopoda	Populus_adenopoda__Poade21926.t1	Chr10	18734129	18734807	False
Populus_adenopoda	Populus_adenopoda__Poade22862.t1	Chr11	15003883	15006218	True
Populus_adenopoda	Populus_adenopoda__Poade23073.t1	Chr11	18384620	18387397	False
Populus_adenopoda	Populus_adenopoda__Poade23530.t1	Chr12	3831288	3831870	False
Populus_adenopoda	Populus_adenopoda__Poade24255.t1	Chr12	14027709	14031426	False
Populus_adenopoda	Populus_adenopoda__Poade25063.t1	Chr13	10265308	10265938	True
Populus_adenopoda	Populus_adenopoda__Poade26761.t1	Chr14	13075833	13077732	False
Populus_adenopoda	Populus_adenopoda__Poade27135.t1	Chr15	1026632	1030277	False
Populus_adenopoda	Populus_adenopoda__Poade27519.t1	Chr15	5610125	5613600	False
Populus_adenopoda	Populus_adenopoda__Poade28021.t2	Chr15	13162106	13165170	False
Populus_adenopoda	Populus_adenopoda__Poade28109.t1	Chr15	13896140	13896635	False
Populus_adenopoda	Populus_adenopoda__Poade28226.t1	Chr15	14937686	14938274	False
Populus_adenopoda	Populus_adenopoda__Poade28342.t1	Chr16	460321	462986	False
Populus_adenopoda	Populus_adenopoda__Poade28580.t1	Chr16	2815560	2816962	True
Populus_adenopoda	Populus_adenopoda__Poade29288.t1	Chr16	12323650	12328189	False
Populus_adenopoda	Populus_adenopoda__Poade30269.t1	Chr17	1577700	1579474	True
Populus_adenopoda	Populus_adenopoda__Poade30339.t1	Chr17	2012525	2015415	False
Populus_adenopoda	Populus_adenopoda__Poade30377.t1	Chr17	2346758	2351248	False
Populus_adenopoda	Populus_adenopoda__Poade30488.t1	Chr17	3473615	3478749	False
Populus_adenopoda	Populus_adenopoda__LG17_exon1_exon4_exon2_exon3_exon5	Chr17	12130527	12133077	False
Populus_adenopoda	Populus_adenopoda__Poade32074.t1	Chr19	323567	325418	False
Populus_adenopoda	Populus_adenopoda__Poade32076.t1	Chr19	339955	346629	False
Populus_adenopoda	Populus_adenopoda__Poade32330.t1	Chr19	2037257	2038614	False
Populus_adenopoda	Populus_adenopoda__Poade32414.t1	Chr19	2533714	2536512	True
Populus_adenopoda	Populus_adenopoda__Poade32472.t1	Chr19	2927916	2928384	False
Populus_adenopoda	Populus_adenopoda__Poade32634.t5	Chr19	4035228	4038128	False
Populus_adenopoda	Populus_adenopoda__Poade32876.t1	Chr19	5667725	5668526	True
Populus_adenopoda	Populus_adenopoda__Poade32877.t1	Chr19	5671684	5672591	False
Populus_adenopoda	Populus_adenopoda__Poade33371.t1	Chr19	9924431	9926758	False
Populus_adenopoda	Populus_adenopoda__Poade04191.t1	Chr2	1899128	1901268	True
Populus_adenopoda	Populus_adenopoda__Poade04249.t1	Chr2	2316522	2319567	False
Populus_adenopoda	Populus_adenopoda__Poade04288.t1	Chr2	2767515	2773072	False
Populus_adenopoda	Populus_adenopoda__Poade04471.t1	Chr2	4303239	4308906	False
Populus_adenopoda	Populus_adenopoda__Poade04691.t1	Chr2	6441040	6448253	True
Populus_adenopoda	Populus_adenopoda__Poade04971.t1	Chr2	9065079	9067781	True
Populus_adenopoda	Populus_adenopoda__Poade06147.t1	Chr2	23003314	23005323	False
Populus_adenopoda	Populus_adenopoda__Poade06358.t1	Chr2	24982893	24984619	True
Populus_adenopoda	Populus_adenopoda__Poade06944.t1	Chr3	7827540	7827975	True
Populus_adenopoda	Populus_adenopoda__Poade07193.t1	Chr3	10748502	10751987	False
Populus_adenopoda	Populus_adenopoda__Poade07560.t3	Chr3	13746366	13748986	False
Populus_adenopoda	Populus_adenopoda__Poade07652.t1	Chr3	14442038	14442482	True
Populus_adenopoda	Populus_adenopoda__Poade07884.t1	Chr3	16622002	16625055	False
Populus_adenopoda	Populus_adenopoda__Poade08078.t1	Chr3	18278214	18282748	False
Populus_adenopoda	Populus_adenopoda__Poade08096.t2	Chr3	18468196	18470663	False
Populus_adenopoda	Populus_adenopoda__Poade08299.t1	Chr3	20241534	20244631	False
Populus_adenopoda	Populus_adenopoda__Poade08426.t1	Chr3	21103794	21104265	False
Populus_adenopoda	Populus_adenopoda__Poade08543.t1	Chr3	22085112	22085776	True
Populus_adenopoda	Populus_adenopoda__Poade08861.t1	Chr4	1669261	1674611	True
Populus_adenopoda	Populus_adenopoda__Poade09000.t1	Chr4	3102829	3108826	False
Populus_adenopoda	Populus_adenopoda__Poade09233.t2	Chr4	5607643	5609023	True
Populus_adenopoda	Populus_adenopoda__Poade09344.t1	Chr4	6862062	6864574	False
Populus_adenopoda	Populus_adenopoda__Poade09399.t1	Chr4	7374082	7374550	False
Populus_adenopoda	Populus_adenopoda__Poade09548.t1	Chr4	8841794	8844628	False
Populus_adenopoda	Populus_adenopoda__Poade09789.t1	Chr4	13313038	13313629	True
Populus_adenopoda	Populus_adenopoda__Poade10738.t1	Chr5	133965	135641	False
Populus_adenopoda	Populus_adenopoda__Poade10875.t1	Chr5	1000064	1001077	False
Populus_adenopoda	Populus_adenopoda__Poade10991.t1	Chr5	1879283	1879760	False
Populus_adenopoda	Populus_adenopoda__Poade11116.t1	Chr5	2846910	2849136	False
Populus_adenopoda	Populus_adenopoda__Poade11321.t1	Chr5	4859145	4863032	True
Populus_adenopoda	Populus_adenopoda__Poade11339.t1	Chr5	5082413	5084832	True
Populus_adenopoda	Populus_adenopoda__Poade11514.t1	Chr5	7254102	7257148	False
Populus_adenopoda	Populus_adenopoda__Poade11834.t1	Chr5	12365511	12368480	False
Populus_adenopoda	Populus_adenopoda__Poade11889.t1	Chr5	12943828	12944317	False
Populus_adenopoda	Populus_adenopoda__Poade11981.t1	Chr5	13705198	13705819	False
Populus_adenopoda	Populus_adenopoda__Poade12228.t6	Chr5	16028123	16030905	False
Populus_adenopoda	Populus_adenopoda__Poade12499.t1	Chr5	18332147	18336832	False
Populus_adenopoda	Populus_adenopoda__Poade13011.t1	Chr6	1303292	1304006	False
Populus_adenopoda	Populus_adenopoda__Poade13090.t1	Chr6	1978274	1984054	False
Populus_adenopoda	Populus_adenopoda__Poade14010.t1	Chr6	10028068	10034008	True
Populus_adenopoda	Populus_adenopoda__Poade14703.t1	Chr6	19086170	19088764	False
Populus_adenopoda	Populus_adenopoda__Poade15729.t1	Chr7	13148068	13152463	False
Populus_adenopoda	Populus_adenopoda__Poade15777.t1	Chr7	13523044	13523647	False
Populus_adenopoda	Populus_adenopoda__Poade15845.t1	Chr7	14068335	14068767	False
Populus_adenopoda	Populus_adenopoda__Poade16631.t1	Chr7	20008548	20010899	True
Populus_adenopoda	Populus_adenopoda__Poade16685.t1	Chr7	20376094	20378231	False
Populus_adenopoda	Populus_adenopoda__Poade16829.t1	Chr8	456611	457911	False
Populus_adenopoda	Populus_adenopoda__Poade16832.t1	Chr8	467912	469789	True
Populus_adenopoda	Populus_adenopoda__Poade16887.t2	Chr8	743358	745864	True
Populus_adenopoda	Populus_adenopoda__Poade17757.t1	Chr8	7019312	7019744	False
Populus_adenopoda	Populus_adenopoda__Poade17830.t1	Chr8	7533321	7533924	False
Populus_adenopoda	Populus_adenopoda__Poade18892.t1	Chr8	19697582	19700207	False
Populus_alba	Populus_alba__KAL3609257.1	Chr1	3052277	3059230	True
Populus_alba	Populus_alba__KAL3609676.1	Chr1	7326757	7329562	True
Populus_alba	Populus_alba__KAL3610209.1	Chr1	12480703	12486622	True
Populus_alba	Populus_alba__KAL3610968.1	Chr1	25875904	25878254	True
Populus_alba	Populus_alba__KAL3612229.1	Chr1	41771263	41772104	True
Populus_alba	Populus_alba__KAL3612257.1	Chr1	42120180	42121824	True
Populus_alba	Populus_alba__KAL3577481.1	Chr10	389146	391976	True
Populus_alba	Populus_alba__KAL3578523.1	Chr10	13889278	13891607	True
Populus_alba	Populus_alba__KAL3578587.1	Chr10	14392671	14393277	False
Populus_alba	Populus_alba__KAL3578651.1	Chr10	14931585	14932017	True
Populus_alba	Populus_alba__KAL3579501.1	Chr10	21316652	21319135	True
Populus_alba	Populus_alba__KAL3579546.1	Chr10	21580069	21581938	True
Populus_alba	Populus_alba__KAL3579548.1	Chr10	21591484	21592779	False
Populus_alba	Populus_alba__KAL3573666.1	Chr13	3283604	3288148	True
Populus_alba	Populus_alba__CM100082.1_exon1_exon4_exon6	Chr13	13398482	13401257	True
Populus_alba	Populus_alba__KAL3574345.1	Chr13	13564964	13568953	True
Populus_alba	Populus_alba__KAL3574582.1	Chr13	16210841	16213519	True
Populus_alba	Populus_alba__KAL3571432.1	Chr14	959660	960242	True
Populus_alba	Populus_alba__KAL3571452.1	Chr14	1183586	1184021	True
Populus_alba	Populus_alba__KAL3571576.1	Chr14	2154503	2157325	True
Populus_alba	Populus_alba__KAL3572086.1	Chr14	7270190	7274142	True
Populus_alba	Populus_alba__KAL3572317.1	Chr14	9269229	9269649	True
Populus_alba	Populus_alba__KAL3572606.1	Chr14	11657601	11660659	True
Populus_alba	Populus_alba__KAL3572608.1	Chr14	11671994	11674863	True
Populus_alba	Populus_alba__KAL3572695.1	Chr14	12471119	12475031	True
Populus_alba	Populus_alba__KAL3572716.1	Chr14	12662800	12667278	True
Populus_alba	Populus_alba__KAL3570848.1	Chr15	9775850	9776480	True
Populus_alba	Populus_alba__KAL3568887.1	Chr16	1860009	1863580	True
Populus_alba	Populus_alba__KAL3568951.1	Chr16	2400226	2403101	True
Populus_alba	Populus_alba__KAL3568988.1	Chr16	2746786	2751266	False
Populus_alba	Populus_alba__KAL3569131.1	Chr16	4692906	4697669	True
Populus_alba	Populus_alba__KAL3569774.1	Chr16	13786424	13789002	True
Populus_alba	Populus_alba__KAL3567425.1	Chr17	4172070	4173460	False
Populus_alba	Populus_alba__KAL3568220.1	Chr17	16401908	16402490	False
Populus_alba	Populus_alba__KAL3566150.1	Chr18	2440635	2442560	True
Populus_alba	Populus_alba__KAL3565629.1	Chr19	19039326	19041097	True
Populus_alba	Populus_alba__KAL3565883.1	Chr19	22173155	22176518	True
Populus_alba	Populus_alba__KAL3603304.1	Chr2	1292716	1293378	True
Populus_alba	Populus_alba__KAL3603414.1	Chr2	2262796	2263267	False
Populus_alba	Populus_alba__KAL3603560.1	Chr2	3384770	3386494	True
