Orthogroup	Populus_adenopoda	Populus_alba	Populus_alba_var__pyramidalis	Populus_davidiana	Populus_deltoide	Populus_euphratica	Populus_ilicifolia	Populus_koreana	Populus_lasiocarpa	Populus_pruinosa	Populus_pseudoglauca	Populus_qiongdaoensis	Populus_rotundifolia	Populus_simonii	Populus_szechuanica	Populus_tremula	Populus_trichocarpa	Populus_wuana	Populus_yunnanensis
OG0000000	Populus_adenopoda__Poade01968.t2, Populus_adenopoda__Poade33371.t1	Populus_alba__KAL3579770.1, Populus_alba__KAL3610968.1	Populus_alba_var__pyramidalis__Poalv02439.t1, Populus_alba_var__pyramidalis__Poalv18665.t1, Populus_alba_var_pyramidalis__GWHACDA00000014_exon1_exon5.final	Populus_davidiana__Podav02319.t3, Populus_davidiana__Podav36976.t2	Populus_deltoide__Podel.01G232200.1.v2.1, Populus_deltoide__Podel.09G016800.1.v2.1	Populus_euphratica__GWHAAYU00000019_exon1_exon6.final, Populus_euphratica__Poeup02427.t1, Populus_euphratica__Poeup02433.t1, Populus_euphratica__Poeup19045.t1	Populus_ilicifolia__evm.model.scaffold34_cov110.5, Populus_ilicifolia__evm.model.scaffold350_cov108.12	Populus_koreana__Pokor02315.t2, Populus_koreana__Pokor36884.t1	Populus_lasiocarpa__Polas02308.t2, Populus_lasiocarpa__Polas38810.t2	Populus_pruinosa__PprTF01G1868.1, Populus_pruinosa__PprTF09G0182.1	Populus_pseudoglauca__Popse02422.t2, Populus_pseudoglauca__Popse37814.t1	Populus_qiongdaoensis__Poqio02675.t1	Populus_rotundifolia__Porot02200.t3, Populus_rotundifolia__Porot36106.t1	Populus_simonii__Posim02660.t4, Populus_simonii__Posim39460.t1	Populus_szechuanica__Posze02351.t1, Populus_szechuanica__Posze39037.t1	Populus_tremula__Potra2n1c1917.1, Populus_tremula__Potra2n369s35436.1	Populus_trichocarpa__Potri.001G220700.2.v4.1, Populus_trichocarpa__Potri.009G018500.1.v4.1	Populus_wuana__Powua02169.t2, Populus_wuana__Powua36068.t1	Populus_yunnanensis__Poyun02263.t1, Populus_yunnanensis__Poyun37989.t1
OG0000001	Populus_adenopoda__Poade11889.t1, Populus_adenopoda__Poade28109.t1	Populus_alba__KAL3583518.1, Populus_alba__KAL3591982.1	Populus_alba_var__pyramidalis__Poalv12580.t1, Populus_alba_var__pyramidalis__Poalv30096.t1	Populus_davidiana__Podav17744.t1, Populus_davidiana__Podav30004.t1	Populus_deltoide__Podel.05G132900.1.v2.1, Populus_deltoide__Podel.07G022000.1.v2.1	Populus_euphratica__GWHAAYU00000012_exon20_exon6.final, Populus_euphratica__Poeup07125.t1, Populus_euphratica__Poeup28714.t1	Populus_ilicifolia__evm.model.scaffold3471_cov113.1, Populus_ilicifolia__evm.model.scaffold526_cov104.105	Populus_koreana__Pokor08513.t1, Populus_koreana__Pokor33873.t1	Populus_lasiocarpa__Polas09091.t1, Populus_lasiocarpa__Polas27404.t1	Populus_pruinosa__PprTF05G0935.1, Populus_pruinosa__PprTF07G0182.1, Populus_pruinosa__PprTF07G0186.1	Populus_pseudoglauca__Popse14079.t1, Populus_pseudoglauca__Popse31567.t1	Populus_qiongdaoensis__Poqio14412.t1, Populus_qiongdaoensis__Poqio18768.t1	Populus_rotundifolia__Porot10676.t1, Populus_rotundifolia__Porot30716.t1	Populus_simonii__Posim12232.t1, Populus_simonii__Posim33635.t1	Populus_szechuanica__Posze11660.t1, Populus_szechuanica__Posze34087.t1	Populus_tremula__Potra2n5c11742.1, Populus_tremula__Potra2n7c16463.1	Populus_trichocarpa__Potri.005G119300.1.v4.1, Populus_trichocarpa__Potri.007G019900.1.v4.1	Populus_wuana__Powua13489.t1, Populus_wuana__Powua30230.t1	Populus_yunnanensis__Poyun14185.t1, Populus_yunnanensis__Poyun30225.t1
OG0000002	Populus_adenopoda__Poade15845.t1, Populus_adenopoda__Poade17757.t1	Populus_alba__KAL3578651.1, Populus_alba__KAL3581993.1	Populus_alba_var__pyramidalis__Poalv32253.t1, Populus_alba_var__pyramidalis__Poalv37619.t1	Populus_davidiana__Podav25239.t1, Populus_davidiana__Podav27379.t1	Populus_deltoide__Podel.08G126200.1.v2.1, Populus_deltoide__Podel.10G144700.1.v2.1, Populus_deltoide__Podel.T107700.1.v2.1, Populus_deltoide__Podel.T107800.1.v2.1	Populus_euphratica__Poeup21438.t1, Populus_euphratica__Poeup35373.t1	Populus_ilicifolia__evm.model.scaffold327_cov106.172, Populus_ilicifolia__evm.model.scaffold625_cov106.54	Populus_koreana__Pokor15850.t1, Populus_koreana__Pokor23305.t1	Populus_lasiocarpa__Polas16386.t1, Populus_lasiocarpa__Polas21358.t1	Populus_pruinosa__PprTF08G0945.1, Populus_pruinosa__PprTF10G0995.1	Populus_pseudoglauca__Popse18891.t1, Populus_pseudoglauca__Popse25944.t1	Populus_qiongdaoensis__Poqio21516.t1, Populus_qiongdaoensis__Poqio26146.t1	Populus_rotundifolia__Porot20918.t1, Populus_rotundifolia__Porot26710.t1	Populus_simonii__Posim19358.t1, Populus_simonii__Posim22038.t1	Populus_szechuanica__Posze19322.t1, Populus_szechuanica__Posze23024.t1	Populus_tremula__Potra2n10c21157.1, Populus_tremula__Potra2n8c17590.1	Populus_trichocarpa__Potri.008G106700.1.v4.1, Populus_trichocarpa__Potri.010G142900.1.v4.1	Populus_wuana__Powua17795.t1, Populus_wuana__Powua20225.t1	Populus_yunnanensis__Poyun16690.t1, Populus_yunnanensis__Poyun22607.t1
OG0000003	Populus_adenopoda__Poade15777.t1, Populus_adenopoda__Poade17830.t1	Populus_alba__KAL3578587.1, Populus_alba__KAL3582065.1	Populus_alba_var__pyramidalis__Poalv32328.t1, Populus_alba_var__pyramidalis__Poalv37549.t1, Populus_alba_var__pyramidalis__Poalv37554.t1	Populus_davidiana__Podav25168.t1, Populus_davidiana__Podav27312.t1	Populus_deltoide__Podel.08G134200.1.v2.1, Populus_deltoide__Podel.10G136700.1.v2.1	Populus_euphratica__Poeup21521.t1, Populus_euphratica__Poeup35453.t1	Populus_ilicifolia__evm.model.scaffold327_cov106.94, Populus_ilicifolia__evm.model.scaffold546_cov105.65	Populus_koreana__Pokor15781.t1, Populus_koreana__Pokor23376.t1	Populus_lasiocarpa__Polas16456.t1, Populus_lasiocarpa__Polas21280.t1	Populus_pruinosa__Chr10_exon1.final, Populus_pruinosa__PprTF08G1009.1	Populus_pseudoglauca__Popse18821.t1, Populus_pseudoglauca__Popse26013.t1	Populus_qiongdaoensis__Poqio21578.t1, Populus_qiongdaoensis__Poqio26068.t1	Populus_rotundifolia__Porot20990.t1, Populus_rotundifolia__Porot26637.t1	Populus_simonii__Posim19432.t1, Populus_simonii__Posim21969.t1	Populus_szechuanica__Posze19251.t1, Populus_szechuanica__Posze23098.t1	Populus_tremula__Potra2n10c21228.1, Populus_tremula__Potra2n8c17663.1	Populus_trichocarpa__Potri.008G113400.1.v4.1, Populus_trichocarpa__Potri.010G135200.2.v4.1	Populus_wuana__Powua17868.t1, Populus_wuana__Powua20292.t1	Populus_yunnanensis__Poyun16619.t1, Populus_yunnanensis__Poyun22677.t1
OG0000004	Populus_adenopoda__Poade03677.t1, Populus_adenopoda__Poade13090.t1	Populus_alba__KAL3599602.1, Populus_alba__KAL3609257.1	Populus_alba_var__pyramidalis__Poalv03260.t1, Populus_alba_var__pyramidalis__Poalv21946.t1	Populus_davidiana__Podav00453.t2, Populus_davidiana__Podav05182.t1	Populus_deltoide__Podel.01G032300.1.v2.1, Populus_deltoide__Podel.03G212100.1.v2.1	Populus_euphratica__Poeup04226.t1, Populus_euphratica__Poeup18543.t1	Populus_ilicifolia__evm.model.scaffold1007_cov103.44, Populus_ilicifolia__evm.model.scaffold169_cov106.296	Populus_koreana__Pokor04190.t2, Populus_koreana__Pokor18772.t1	Populus_lasiocarpa__Polas00336.t2, Populus_lasiocarpa__Polas19732.t1	Populus_pruinosa__PprTF01G0266.1, Populus_pruinosa__PprTF03G1654.1	Populus_pseudoglauca__Popse04333.t2, Populus_pseudoglauca__Popse17162.t1	Populus_qiongdaoensis__Poqio04824.t1, Populus_qiongdaoensis__Poqio08372.t1	Populus_rotundifolia__Porot00339.t2, Populus_rotundifolia__Porot06576.t3	Populus_simonii__Posim04653.t1, Populus_simonii__Posim17928.t1	Populus_szechuanica__Posze00369.t1, Populus_szechuanica__Posze17620.t1	Populus_tremula__Potra2n1c244.2, Populus_tremula__Potra2n3c6723.1	Populus_trichocarpa__Potri.001G029800.11.v4.1, Populus_trichocarpa__Potri.003G194600.12.v4.1	Populus_wuana__Powua00320.t1, Populus_wuana__Powua16470.t3	Populus_yunnanensis__Poyun00301.t1, Populus_yunnanensis__Poyun19681.t1
OG0000005	Populus_adenopoda__Poade06944.t1, Populus_adenopoda__Poade21032.t1	Populus_alba__KAL3572317.1, Populus_alba__KAL3604436.1	Populus_alba_var__pyramidalis__Poalv08559.t1, Populus_alba_var__pyramidalis__Poalv24554.t1	Populus_davidiana__Podav13516.t1, Populus_davidiana__Podav21354.t1	Populus_deltoide__Podel.02G218800.1.v2.1, Populus_deltoide__Podel.14G125100.1.v2.1	Populus_euphratica__Poeup10846.t1, Populus_euphratica__Poeup14827.t1	Populus_ilicifolia__evm.model.scaffold118_cov101.47, Populus_ilicifolia__evm.model.scaffold687_cov105.32	Populus_koreana__Pokor10333.t1, Populus_koreana__Pokor19878.t1	Populus_lasiocarpa__Polas10923.t1, Populus_lasiocarpa__Polas24666.t1	Populus_pruinosa__PprTF02G1769.1, Populus_pruinosa__PprTF14G0638.1	Populus_pseudoglauca__Popse11926.t1, Populus_pseudoglauca__Popse23865.t1	Populus_qiongdaoensis__Poqio05994.t1, Populus_qiongdaoensis__Poqio33336.t1	Populus_rotundifolia__Porot12592.t1, Populus_rotundifolia__Porot23022.t1	Populus_simonii__Posim09980.t1, Populus_simonii__Posim25424.t1	Populus_szechuanica__Posze14865.t1, Populus_szechuanica__Posze27044.t1	Populus_tremula__Potra2n14c27320.1, Populus_tremula__Potra2n2c4633.1	Populus_trichocarpa__Potri.002G196200.1.v4.1, Populus_trichocarpa__Potri.014G120800.1.v4.1	Populus_wuana__Powua09142.t1, Populus_wuana__Powua23658.t1	Populus_yunnanensis__Poyun10788.t1, Populus_yunnanensis__Poyun26435.t1
OG0000006	Populus_adenopoda__Poade08299.t1, Populus_adenopoda__Poade11116.t1	Populus_alba__KAL3592768.1, Populus_alba__KAL3603560.1	Populus_alba_var__pyramidalis__Poalv29285.t1	Populus_davidiana__Podav12062.t1, Populus_davidiana__Podav16865.t1	Populus_deltoide__Podel.02G048200.1.v2.1, Populus_deltoide__Podel.02G052000.1.v2.1, Populus_deltoide__Podel.02G052800.1.v2.1, Populus_deltoide__Podel.05G230200.1.v2.1	Populus_euphratica__Poeup16278.t1, Populus_euphratica__Poeup29645.t1	Populus_ilicifolia__evm.model.scaffold47_cov104.21, Populus_ilicifolia__evm.model.scaffold96_cov103.427	Populus_koreana__Pokor07593.t1, Populus_koreana__Pokor11816.t1	Populus_lasiocarpa__Polas08067.t1, Populus_lasiocarpa__Polas12463.t1	Populus_pruinosa__PprTF02G0409.1, Populus_pruinosa__PprTF05G1738.1	Populus_pseudoglauca__Popse10416.t1, Populus_pseudoglauca__Popse13132.t2	Populus_qiongdaoensis__Poqio13476.t1	Populus_rotundifolia__Porot11545.t1, Populus_rotundifolia__Porot14045.t1	Populus_simonii__Posim08499.t1, Populus_simonii__Posim11292.t1	Populus_szechuanica__Posze10648.t1, Populus_szechuanica__Posze13292.t1	Populus_tremula__Potra2n2c6035.1, Populus_tremula__Potra2n5c10904.1	Populus_trichocarpa__Potri.002G045800.1.v4.1, Populus_trichocarpa__Potri.005G217500.1.v4.1	Populus_wuana__Powua07653.t1, Populus_wuana__Powua12550.t1	Populus_yunnanensis__Poyun12351.t1, Populus_yunnanensis__Poyun13237.t1
OG0000007	Populus_adenopoda__Poade09344.t1, Populus_adenopoda__Poade32414.t1	Populus_alba__KAL3580730.1, Populus_alba__KAL3597419.1	Populus_alba_var__pyramidalis__Poalv19761.t1, Populus_alba_var__pyramidalis__Poalv28068.t1	Populus_davidiana__Podav14843.t1, Populus_davidiana__Podav37808.t1	Populus_deltoide__Podel.04G168100.1.v2.1, Populus_deltoide__Podel.09G130600.1.v2.1	Populus_euphratica__Poeup20064.t1, Populus_euphratica__Poeup23322.t1	Populus_ilicifolia__evm.model.scaffold117_cov106.178, Populus_ilicifolia__evm.model.scaffold428_cov103.9	Populus_koreana__Pokor13833.t1, Populus_koreana__Pokor35857.t1	Populus_lasiocarpa__Polas14509.t1, Populus_lasiocarpa__Polas37739.t1	Populus_pruinosa__PprTF04G1294.1, Populus_pruinosa__PprTF09G1167.1	Populus_pseudoglauca__Popse08231.t1, Populus_pseudoglauca__Popse38861.t1	Populus_qiongdaoensis__Poqio11334.t1, Populus_qiongdaoensis__Poqio24131.t1	Populus_rotundifolia__Porot16910.t2, Populus_rotundifolia__Porot37171.t2	Populus_simonii__Posim13999.t1, Populus_simonii__Posim38444.t1	Populus_szechuanica__Posze09393.t1, Populus_szechuanica__Posze40121.t1	Populus_tremula__Potra2n4c9893.1, Populus_tremula__Potra2n9c19016.1	Populus_trichocarpa__Potri.004G163800.1.v4.1, Populus_trichocarpa__Potri.009G125400.1.v4.1	Populus_wuana__Powua10516.t1, Populus_wuana__Powua37092.t1	Populus_yunnanensis__Poyun08321.t1, Populus_yunnanensis__Poyun39046.t1
OG0000008	Populus_adenopoda__Poade11834.t1, Populus_adenopoda__Poade28021.t2	Populus_alba__KAL3583606.1, Populus_alba__KAL3592031.1	Populus_alba_var__pyramidalis__Poalv12707.t1, Populus_alba_var__pyramidalis__Poalv30045.t1	Populus_davidiana__Podav17690.t1, Populus_davidiana__Podav30094.t1	Populus_deltoide__Podel.05G139800.1.v2.1, Populus_deltoide__Podel.07G034300.1.v2.1, Populus_deltoide__Podel.07G034600.1.v2.1	Populus_euphratica__Poeup28769.t1, Populus_euphratica__Poeup28778.t1	Populus_ilicifolia__evm.model.scaffold405_cov103.23, Populus_ilicifolia__evm.model.scaffold601_cov109.6	Populus_koreana__Pokor08451.t2, Populus_koreana__Pokor33775.t5	Populus_lasiocarpa__Polas09021.t1, Populus_lasiocarpa__Polas27497.t2	Populus_pruinosa__PprTF05G0997.1, Populus_pruinosa__PprTF07G0271.1	Populus_pseudoglauca__Popse14019.t2, Populus_pseudoglauca__Popse31470.t1	Populus_qiongdaoensis__Poqio14343.t1, Populus_qiongdaoensis__Poqio18886.t1	Populus_rotundifolia__Porot10739.t6, Populus_rotundifolia__Porot30815.t2	Populus_simonii__Posim12167.t1, Populus_simonii__Posim33539.t3	Populus_szechuanica__Posze11596.t1, Populus_szechuanica__Posze33982.t3	Populus_tremula__Potra2n5c11681.3, Populus_tremula__Potra2n7c16366.1	Populus_trichocarpa__Potri.005G126000.4.v4.1, Populus_trichocarpa__Potri.007G029400.2.v4.1	Populus_wuana__Powua13429.t2	Populus_yunnanensis__Poyun14122.t1, Populus_yunnanensis__Poyun30125.t1
OG0000009	Populus_adenopoda__Poade24255.t1, Populus_adenopoda__Poade27135.t1	Populus_alba__KAL3567425.1, Populus_alba__KAL3583202.1	Populus_alba_var__pyramidalis__Poalv10598.t1, Populus_alba_var__pyramidalis__Poalv13773.t1	Populus_davidiana__Podav20297.t1, Populus_davidiana__Podav31058.t1	Populus_deltoide__Podel.07G142200.1.v2.1, Populus_deltoide__Podel.17G028500.1.v2.1	Populus_euphratica__Poeup06079.t1, Populus_euphratica__Poeup07500.t1	Populus_ilicifolia__evm.model.scaffold407_cov105.91, Populus_ilicifolia__evm.model.scaffold408_cov108.129	Populus_koreana__Pokor27156.t1, Populus_koreana__Pokor32791.t1	Populus_lasiocarpa__Polas28500.t1, Populus_lasiocarpa__Polas34237.t1	Populus_pruinosa__PprTF07G1080.1, Populus_pruinosa__PprTF17G0126.1	Populus_pseudoglauca__Popse30427.t1, Populus_pseudoglauca__Popse33456.t1	Populus_qiongdaoensis__Poqio20064.t1, Populus_qiongdaoensis__Poqio38431.t1	Populus_rotundifolia__Porot14809.t2, Populus_rotundifolia__Porot31810.t1	Populus_simonii__Posim32559.t1, Populus_simonii__Posim36835.t1	Populus_szechuanica__Posze29300.t1, Populus_szechuanica__Posze32875.t1	Populus_tremula__Potra2n17c31613.1, Populus_tremula__Potra2n7c15534.1	Populus_trichocarpa__Potri.007G130800.4.v4.1, Populus_trichocarpa__Potri.017G027400.1.v4.1	Populus_wuana__Powua29098.t1, Populus_wuana__Powua30604.t1	Populus_yunnanensis__Poyun29030.t1, Populus_yunnanensis__Poyun32129.t1
