te_id	species	chrom	te_start	te_end	te_class	te_subclass
Populus_adenopoda|Chr1:10733079-10733241|LTR_592-LTR	Populus_adenopoda	Chr1	10733079	10733241	LTR	LTR/Copia
Populus_adenopoda|Chr1:35250273-35250981|LTR_1014-int	Populus_adenopoda	Chr1	35250273	35250981	LTR	LTR/Copia
Populus_adenopoda|Chr11:15002836-15002943|LTR_181-LTR	Populus_adenopoda	Chr11	15002836	15002943	LTR	LTR/Gypsy
Populus_adenopoda|Chr13:10264444-10264617|Homology_Non_LTR_1	Populus_adenopoda	Chr13	10264444	10264617	non-LTR	SINE/tRNA
Populus_adenopoda|Chr16:2818676-2820034|LTR_1077-int	Populus_adenopoda	Chr16	2818676	2820034	LTR	LTR/Copia
Populus_adenopoda|Chr17:1576181-1576234|LTR_954-int	Populus_adenopoda	Chr17	1576181	1576234	LTR	LTR/Copia
Populus_adenopoda|Chr17:1576368-1576446|LTR_954-int	Populus_adenopoda	Chr17	1576368	1576446	LTR	LTR/Copia
Populus_adenopoda|Chr17:1581133-1581253|LTR_230-LTR	Populus_adenopoda	Chr17	1581133	1581253	LTR	LTR/Gypsy
Populus_adenopoda|Chr19:2534938-2535005|LTR_313-LTR	Populus_adenopoda	Chr19	2534938	2535005	LTR	LTR/Gypsy
Populus_adenopoda|Chr19:2534959-2535005|LTR_526-LTR	Populus_adenopoda	Chr19	2534959	2535005	LTR	LTR/Copia
Populus_adenopoda|Chr19:5666264-5666342|LTR_954-int	Populus_adenopoda	Chr19	5666264	5666342	LTR	LTR/Copia
Populus_adenopoda|Chr19:5666477-5666555|LTR_954-int	Populus_adenopoda	Chr19	5666477	5666555	LTR	LTR/Copia
Populus_adenopoda|Chr2:1900240-1900692|LTR_388-LTR	Populus_adenopoda	Chr2	1900240	1900692	LTR	LTR/Gypsy
Populus_adenopoda|Chr2:6443961-6444223|LTR_1022-int	Populus_adenopoda	Chr2	6443961	6444223	LTR	LTR/Copia
Populus_adenopoda|Chr2:6445058-6445222|LTR_1000-int	Populus_adenopoda	Chr2	6445058	6445222	LTR	LTR/Copia
Populus_adenopoda|Chr2:6446538-6446681|LTR_122-LTR	Populus_adenopoda	Chr2	6446538	6446681	LTR	LTR/Copia
Populus_adenopoda|Chr2:9068919-9069091|Homology_Non_LTR_0	Populus_adenopoda	Chr2	9068919	9069091	non-LTR	SINE/tRNA
Populus_adenopoda|Chr2:24980971-24981083|LTR_740-int	Populus_adenopoda	Chr2	24980971	24981083	LTR	LTR/Gypsy
Populus_adenopoda|Chr2:24981477-24981856|LTR_1059-int	Populus_adenopoda	Chr2	24981477	24981856	LTR	LTR/Gypsy
Populus_adenopoda|Chr3:7825616-7825759|LTR_731-int	Populus_adenopoda	Chr3	7825616	7825759	LTR	LTR/Gypsy
Populus_adenopoda|Chr3:14443482-14443624|LTR_392-LTR	Populus_adenopoda	Chr3	14443482	14443624	LTR	LTR/Copia
Populus_adenopoda|Chr3:22084894-22084946|LTR_1079-int	Populus_adenopoda	Chr3	22084894	22084946	LTR	LTR/Copia
Populus_adenopoda|Chr4:1676071-1676110|LTR_344-LTR	Populus_adenopoda	Chr4	1676071	1676110	LTR	LTR/Gypsy
Populus_adenopoda|Chr4:5610881-5611534|LTR_771-int	Populus_adenopoda	Chr4	5610881	5611534	LTR	LTR/Copia
Populus_adenopoda|Chr4:5610953-5613618|LTR_1078-int	Populus_adenopoda	Chr4	5610953	5613618	LTR	LTR/Copia
Populus_adenopoda|Chr4:13315266-13315309|LTR_641-LTR	Populus_adenopoda	Chr4	13315266	13315309	LTR	LTR/Copia
Populus_adenopoda|Chr4:13315590-13316080|LTR_320-LTR	Populus_adenopoda	Chr4	13315590	13316080	LTR	LTR/Copia
