gene_id	species	chrom	window_start	window_end
Populus_adenopoda__Poade00686.t1	Populus_adenopoda	Chr1	10727819	10733457
Populus_adenopoda__Poade00715.t1	Populus_adenopoda	Chr1	11072196	11077222
Populus_adenopoda__Poade01968.t2	Populus_adenopoda	Chr1	27302660	27307570
Populus_adenopoda__Poade02428.t1	Populus_adenopoda	Chr1	35246205	35251683
Populus_adenopoda__Poade02703.t1	Populus_adenopoda	Chr1	38213974	38223947
Populus_adenopoda__Poade03264.t1	Populus_adenopoda	Chr1	43489610	43496117
Populus_adenopoda__Poade03677.t1	Populus_adenopoda	Chr1	47736258	47747222
Populus_adenopoda__Poade03761.t1	Populus_adenopoda	Chr1	48398088	48402890
Populus_adenopoda__Poade21032.t1	Populus_adenopoda	Chr10	11153351	11157772
Populus_adenopoda__Poade21262.t5	Populus_adenopoda	Chr10	13164222	13171963
Populus_adenopoda__Poade21792.t1	Populus_adenopoda	Chr10	17570829	17577944
Populus_adenopoda__Poade21910.t1	Populus_adenopoda	Chr10	18574253	18578689
Populus_adenopoda__Poade21926.t1	Populus_adenopoda	Chr10	18732128	18736807
Populus_adenopoda__Poade22862.t1	Populus_adenopoda	Chr11	15001882	15008218
Populus_adenopoda__Poade23073.t1	Populus_adenopoda	Chr11	18382619	18389397
Populus_adenopoda__Poade23530.t1	Populus_adenopoda	Chr12	3829287	3833870
Populus_adenopoda__Poade24255.t1	Populus_adenopoda	Chr12	14025708	14033426
Populus_adenopoda__Poade25063.t1	Populus_adenopoda	Chr13	10263307	10267938
Populus_adenopoda__Poade26761.t1	Populus_adenopoda	Chr14	13073832	13079732
Populus_adenopoda__Poade27135.t1	Populus_adenopoda	Chr15	1024631	1032277
Populus_adenopoda__Poade27519.t1	Populus_adenopoda	Chr15	5608124	5615600
Populus_adenopoda__Poade28021.t2	Populus_adenopoda	Chr15	13160105	13167170
Populus_adenopoda__Poade28109.t1	Populus_adenopoda	Chr15	13894139	13898635
Populus_adenopoda__Poade28226.t1	Populus_adenopoda	Chr15	14935685	14940274
