species	standard_gene_id	standard_transcript_id	model_type
Populus_adenopoda	Populus_adenopoda__LG17_exon1_exon4_exon2_exon3_exon5	Populus_adenopoda__LG17_exon1_exon4_exon2_exon3_exon5.t1	independent_new_locus
Populus_alba	Populus_alba__CM100082.1_exon1_exon4_exon6	Populus_alba__CM100082.1_exon1_exon4_exon6.t1	annotation_correction
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__GWHACDA00000006_exon6_exon5_exon3_exon4	Populus_alba_var_pyramidalis__GWHACDA00000006_exon6_exon5_exon3_exon4.t1	independent_new_locus
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__GWHACDA00000010_exon10_exon6_exon11_exon4_exon5_exon1_exon2_exon7	Populus_alba_var_pyramidalis__GWHACDA00000010_exon10_exon6_exon11_exon4_exon5_exon1_exon2_exon7.t1	independent_new_locus
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__GWHACDA00000014_exon1_exon5	Populus_alba_var_pyramidalis__GWHACDA00000014_exon1_exon5.t1	independent_new_locus
Populus_davidiana	Populus_davidiana__LG11_exon3_exon4	Populus_davidiana__LG11_exon3_exon4.t1	independent_new_locus
Populus_euphratica	Populus_euphratica__GWHAAYU00000002_exon6_exon4_exon3_exon2_exon5_exon7_2dom	Populus_euphratica__GWHAAYU00000002_exon6_exon4_exon3_exon2_exon5_exon7_2dom.t1	independent_new_locus
Populus_euphratica	Populus_euphratica__GWHAAYU00000007_exon13	Populus_euphratica__GWHAAYU00000007_exon13.t1	annotation_correction
Populus_euphratica	Populus_euphratica__GWHAAYU00000007_exon6_exon7_exon5_exon4_exon1_exon2_exon3	Populus_euphratica__GWHAAYU00000007_exon6_exon7_exon5_exon4_exon1_exon2_exon3.t1	independent_new_locus
Populus_euphratica	Populus_euphratica__GWHAAYU00000012_exon20_exon6	Populus_euphratica__GWHAAYU00000012_exon20_exon6.t1	independent_new_locus
Populus_euphratica	Populus_euphratica__GWHAAYU00000019_exon1_exon6	Populus_euphratica__GWHAAYU00000019_exon1_exon6.t1	independent_new_locus
Populus_koreana	Populus_koreana__LG15_exon2_exon4_exon3_exon5	Populus_koreana__LG15_exon2_exon4_exon3_exon5.t1	independent_new_locus
Populus_lasiocarpa	Populus_lasiocarpa__LG15_exon3_exon2_exon1_exon5	Populus_lasiocarpa__LG15_exon3_exon2_exon1_exon5.t1	independent_new_locus
Populus_lasiocarpa	Populus_lasiocarpa__LG17_exon1_exon3_exon2	Populus_lasiocarpa__LG17_exon1_exon3_exon2.t1	independent_new_locus
Populus_pruinosa	Populus_pruinosa__Chr10_exon1	Populus_pruinosa__Chr10_exon1.t1	independent_new_locus
Populus_pruinosa	Populus_pruinosa__Chr7_exon13_exon12_exon25_exon1_exon7_exon11	Populus_pruinosa__Chr7_exon13_exon12_exon25_exon1_exon7_exon11.t1	annotation_correction
Populus_pseudoglauca	Populus_pseudoglauca__LG12_exon3_exon2_exon1_exon5	Populus_pseudoglauca__LG12_exon3_exon2_exon1_exon5.t1	independent_new_locus
Populus_simonii	Populus_simonii__LG03_exon2	Populus_simonii__LG03_exon2.t1	independent_new_locus
Populus_simonii	Populus_simonii__LG17_exon1_exon4_exon2_exon3_exon5	Populus_simonii__LG17_exon1_exon4_exon2_exon3_exon5.t1	independent_new_locus
Populus_tremula	Populus_tremula__chr2_exon3	Populus_tremula__chr2_exon3.t1	independent_new_locus
Populus_tremula	Populus_tremula__chr9_exon1	Populus_tremula__chr9_exon1.t1	annotation_correction
Populus_trichocarpa	Populus_trichocarpa__Chr16_exon1_exon3_exon2_exon4	Populus_trichocarpa__Chr16_exon1_exon3_exon2_exon4.t1	independent_new_locus
Populus_wuana	Populus_wuana__LG02_exon4_exon2_exon1_exon3_exon5_exon6	Populus_wuana__LG02_exon4_exon2_exon1_exon3_exon5_exon6.t1	independent_new_locus
Populus_wuana	Populus_wuana__LG17_exon2_exon5_exon3_exon4_exon6	Populus_wuana__LG17_exon2_exon5_exon3_exon4_exon6.t1	independent_new_locus
Populus_yunnanensis	Populus_yunnanensis__LG04_exon1	Populus_yunnanensis__LG04_exon1.t1	independent_new_locus
